Guerilla Player,COIN Player,Total Games,Guerilla Victories,Total COIN Victories,COIN Capture Victories,COIN Runout Victories,Draws,Mean Turns Per Game,Mean Turns per Guerilla Victory,Mean Turns per COIN Victory,Mean Turns per Draw,Mean COIN Checkers left per COIN Victory,Mean COIN Checkers left per Draw,Tournament Time (ms),Time Per Game (ms),Mean Guerilla Branching Factor,Mean COIN Branching Factor
Depth 1,Depth 2,100,1,93,64,29,6,25.7,55.0,24.41,40.67,4.68,2.67,30635,306.35,18.3,6.4
Depth 1,Depth 3,100,3,88,57,31,9,28.95,53.0,27.69,33.11,4.55,3.22,310531,3105.31,19.16,6.29
Depth 1,Depth 4,100,30,56,14,42,14,46.84,46.9,49.75,35.0,2.38,2.21,1617954,16179.54,22.25,5.44
Depth 1,Depth 5,100,52,39,20,19,9,38.22,41.48,31.97,46.33,3.59,1.67,3516156,35161.56,22.01,5.27
Depth 1,Utility Computer Player,100,1,90,47,43,9,33.05,44.0,31.48,47.44,4.58,3.11,9390,93.9,19.56,7.94
Depth 2,Depth 1,100,57,5,5,0,38,26.79,30.05,3.8,24.89,5.6,2.39,33060,330.6,19.62,7.46
Depth 2,Depth 3,100,2,71,50,21,27,26.57,50.5,23.32,33.3,4.89,3.89,345258,3452.58,18.37,6.84
Depth 2,Depth 4,100,18,30,16,14,52,34.47,40.83,34.83,32.04,3.3,2.94,1273311,12733.11,21.3,5.82
Depth 2,Depth 5,100,25,25,18,7,50,31.31,42.08,21.04,31.04,4.32,2.66,3168499,31684.99,21.18,5.69
Depth 2,Utility Computer Player,100,1,60,36,24,39,31.25,59.0,26.9,37.21,4.85,4.08,46921,469.21,18.64,8.37
Depth 3,Depth 1,100,43,2,2,0,56,21.55,26.56,7.0,17.82,5.0,3.8,262642,2626.42,18.49,9.15
Depth 3,Depth 2,100,12,27,11,16,61,32.27,35.58,39.19,28.54,3.78,4.07,558164,5581.64,20.84,7.54
Depth 3,Depth 4,100,10,8,6,2,82,27.76,39.0,18.5,27.28,4.75,3.43,1470962,14709.62,20.02,7.0
Depth 3,Depth 5,100,20,2,1,1,78,27.07,40.35,32.5,23.51,4.0,3.47,2872535,28725.35,19.67,7.32
Depth 3,Utility Computer Player,100,0,9,3,6,91,28.03,,44.33,26.41,4.78,4.89,462555,4625.55,18.71,10.37
Depth 4,Depth 1,100,28,0,0,0,72,26.27,31.18,,24.35,,3.11,1047382,10473.82,16.7,9.36
Depth 4,Depth 2,100,7,42,2,40,51,44.25,48.86,61.57,29.33,3.71,4.49,2468165,24681.65,18.81,7.44
Depth 4,Depth 3,100,6,47,5,42,47,44.45,45.67,58.49,30.23,3.81,4.64,3006250,30062.5,19.33,7.51
Depth 4,Depth 5,100,16,12,2,10,72,34.99,43.56,55.0,29.74,1.67,3.1,4761567,47615.67,20.29,6.7
Depth 4,Utility Computer Player,100,0,27,2,25,73,37.87,,61.04,29.29,4.3,5.18,1918198,19181.98,18.15,9.77
Depth 5,Depth 1,100,50,5,4,1,45,28.89,30.5,13.0,28.84,5.0,2.93,2151619,21516.19,17.85,8.35
Depth 5,Depth 2,100,0,90,61,29,10,32.0,,30.89,41.9,5.32,4.3,3361409,33614.09,16.34,7.06
Depth 5,Depth 3,100,2,84,61,23,14,27.51,32.0,25.82,36.93,5.51,4.71,3198518,31985.18,15.38,7.29
Depth 5,Depth 4,100,3,78,21,57,19,46.17,35.67,48.05,40.05,4.0,4.11,6637923,66379.23,18.47,6.91
Depth 5,Utility Computer Player,100,0,64,32,32,36,35.77,,32.45,41.64,5.28,4.72,3224140,32241.4,15.77,8.8
Utility Computer Player,Depth 1,100,100,1,1,0,0,28.49,28.39,9.0,,4.0,,6810,68.1,24.25,5.71
Utility Computer Player,Depth 2,100,11,89,7,82,0,59.79,49.82,61.01,,2.4,,70117,701.17,24.26,6.03
Utility Computer Player,Depth 3,100,5,95,6,89,0,60.87,49.6,61.45,,2.2,,577305,5773.05,23.11,5.73
Utility Computer Player,Depth 4,100,54,46,2,44,0,51.87,43.87,61.24,,1.39,,1779246,17792.46,27.19,4.4
Utility Computer Player,Depth 5,100,63,37,1,36,0,50.51,43.57,62.3,,1.14,,4470553,44705.53,25.81,4.2
