Guerilla Player,COIN Player,Total Games,Guerilla Victories,Total COIN Victories,COIN Capture Victories,COIN Runout Victories,Draws,Mean Turns Per Game,Mean Turns per Guerilla Victory,Mean Turns per COIN Victory,Mean Turns per Draw,Mean COIN Checkers left per COIN Victory,Mean COIN Checkers left per Draw,Tournament Time (ms),Time Per Game (ms),Mean Guerilla Branching Factor,Mean COIN Branching Factor
Depth 1,Depth 2,100,0,92,65,27,8,27.25,,26.67,33.75,,,8637,86.37,,
Depth 1,Depth 3,100,1,82,58,24,17,25.65,65.0,25.59,23.59,,,18958,189.58,,
Depth 1,Depth 4,100,0,93,78,15,7,19.3,,18.41,31.0,,,51085,510.85,,
Depth 1,Depth 5,100,0,92,73,19,8,22.98,,21.72,37.38,,,220173,2201.73,,
Depth 1,Utility Computer Player,100,0,68,26,42,32,39.08,,41.68,33.53,,,8735,87.35,,
Depth 2,Depth 1,100,39,57,49,8,4,28.51,47.97,14.18,42.75,,,12229,122.29,,
Depth 2,Depth 3,100,20,79,54,25,1,31.64,54.7,26.14,4.0,,,23331,233.31,,
Depth 2,Depth 4,100,12,84,54,30,4,31.85,56.0,28.35,32.75,,,72792,727.92,,
Depth 2,Depth 5,100,9,90,60,30,1,30.74,55.22,28.01,55.0,,,235828,2358.28,,
Depth 2,Utility Computer Player,100,3,89,24,65,8,48.23,59.0,48.21,44.25,,,21474,214.74,,
Depth 3,Depth 1,100,40,50,39,11,10,34.41,50.25,21.56,35.2,,,29846,298.46,,
Depth 3,Depth 2,100,22,77,43,34,1,37.99,53.45,33.25,62.0,,,36108,361.08,,
Depth 3,Depth 4,100,11,86,52,34,3,34.06,53.64,31.73,28.67,,,104733,1047.33,,
Depth 3,Depth 5,100,8,84,49,35,8,35.89,59.63,34.62,25.38,,,339605,3396.05,,
Depth 3,Utility Computer Player,100,1,84,25,59,15,47.47,58.0,48.0,43.73,,,50064,500.64,,
Depth 4,Depth 1,100,38,51,35,16,11,36.87,53.63,25.88,29.82,,,116217,1162.17,,
Depth 4,Depth 2,100,30,65,37,28,5,40.85,53.27,35.98,29.4,,,127184,1271.84,,
Depth 4,Depth 3,100,12,74,25,49,14,43.65,55.08,45.39,24.57,,,172983,1729.83,,
Depth 4,Depth 5,100,4,81,44,37,15,35.36,50.75,35.47,30.6,,,435010,4350.1,,
Depth 4,Utility Computer Player,100,0,61,19,42,39,40.55,,45.62,32.59,,,152699,1526.99,,
Depth 5,Depth 1,100,34,54,30,24,12,39.71,53.41,32.59,32.83,,,490540,4905.4,,
Depth 5,Depth 2,100,23,74,35,39,3,41.64,55.39,37.36,41.33,,,568896,5688.96,,
Depth 5,Depth 3,100,11,87,26,61,2,48.12,55.64,47.43,36.5,,,697608,6976.08,,
Depth 5,Depth 4,100,4,89,43,46,7,37.63,55.25,37.52,28.86,,,661393,6613.93,,
Depth 5,Utility Computer Player,100,2,63,28,35,35,36.69,60.0,37.98,33.0,,,576229,5762.29,,
Utility Computer Player,Depth 1,100,21,39,11,28,40,43.87,54.62,47.64,34.52,,,12121,121.21,,
Utility Computer Player,Depth 2,100,6,57,15,42,37,45.85,53.17,50.65,37.24,,,20613,206.13,,
Utility Computer Player,Depth 3,100,6,54,15,39,40,42.59,53.0,49.93,31.1,,,35781,357.81,,
Utility Computer Player,Depth 4,100,6,57,20,37,37,41.25,58.0,44.61,33.32,,,131348,1313.48,,
Utility Computer Player,Depth 5,100,3,75,43,32,22,31.69,60.0,31.39,28.82,,,380864,3808.64,,
